category_id,category_name,category_url
8313,Đồ dùng phòng ngủ,https://tiki.vnhttps://tiki.vn/do-dung-phong-ngu/c8313
23054,Đồ thờ cúng,https://tiki.vnhttps://tiki.vn/do-tho-cung/c23054
10068,Nhạc cụ,https://tiki.vnhttps://tiki.vn/nhac-cu/c10068
18852,Hoa tươi và cây cảnh,https://tiki.vnhttps://tiki.vn/hoa-tuoi-va-cay-canh/c18852
5451,Chăm sóc thú cưng,https://tiki.vnhttps://tiki.vn/thu-cung/c5451
22998,Đồ uống - Pha chế dạng bột,https://tiki.vnhttps://tiki.vn/do-uong-pha-che-dang-bot/c22998
15074,Thực phẩm Đóng hộp và Khô,https://tiki.vnhttps://tiki.vn/thuc-pham-dong-hop-va-kho/c15074
4422,Gia Vị và Chế Biến,https://tiki.vnhttps://tiki.vn/gia-vi-va-che-bien/c4422
53620,Đậu & Hạt Các Loại,https://tiki.vnhttps://tiki.vn/dau-hat-cac-loai/c53620
4421,Đồ Ăn Vặt,https://tiki.vnhttps://tiki.vn/do-an-vat/c4421
53562,Sữa và các Sản phẩm từ sữa,https://tiki.vnhttps://tiki.vn/sua-va-cac-san-pham-tu-sua/c53562
24024,Đồ Uống Không Cồn,https://tiki.vnhttps://tiki.vn/do-uong-khong-con/c24024
53582,Đồ uống có cồn,https://tiki.vnhttps://tiki.vn/do-uong-co-con/c53582
11347,Bộ quà tặng,https://tiki.vnhttps://tiki.vn/bo-qua-tang/c11347
21268,Nhà Cửa - Đời Sống,https://tiki.vnhttps://tiki.vn/nha-cua-doi-song/c21268
21442,Thời Trang,https://tiki.vnhttps://tiki.vn/thoi-trang/c21442
21346,"Ô tô, xe máy, xe đạp",https://tiki.vnhttps://tiki.vn/o-to-xe-may-xe-dap/c21346
21382,Thiết Bị Số - Phụ Kiện Số,https://tiki.vnhttps://tiki.vn/thiet-bi-so-phu-kien-so/c21382
21356,Thể thao - Dã ngoại,https://tiki.vnhttps://tiki.vn/the-thao-da-ngoai/c21356
20908,Làm Đẹp - Sức Khỏe,https://tiki.vnhttps://tiki.vn/lam-dep-suc-khoe/c20908
21298,"Sách, Văn phòng phẩm & Quà lưu niệm",https://tiki.vnhttps://tiki.vn/sach-van-phong-pham-qua-luu-niem/c21298
21166,Mẹ & Bé,https://tiki.vnhttps://tiki.vn/me-be/c21166
